333 813
S143 31.43965 34.41631
S144 31.43987 34.41491
S145 31.43769 34.40993
S146 31.43943 34.40789
S148 31.43750 34.40359
S149 31.43449 34.40616
S150 31.43641 34.40466
S153 31.43937 34.39332
S156 31.44486 34.40014
S157 31.45201 34.38601
S158 31.45193 34.38601
S163 31.46373 34.40044
S164 31.46664 34.40697
S165 31.45916 34.41350
S166 31.46931 34.39927
S167 31.47197 34.40248
S168 31.47380 34.40034
S169 31.47064 34.39654
S170 31.47662 34.38864
S176 31.45134 34.37538
S177 31.45110 34.37870
S178 31.45068 34.37275
S179 31.45184 34.37061
S180 31.44818 34.36622
S181 31.45068 34.36320
S182 31.43920 34.35238
S183 31.43787 34.39488
S184 31.42681 34.38649
S185 31.42465 34.38796
S186 31.42057 34.38698
S187 31.42232 34.38289
S781 31.42093 34.38475
S188 31.42664 34.37772
S189 31.43138 34.38279
S190 31.42922 34.37967
S191 31.43247 34.37431
S192 31.42847 34.36651
S193 31.43222 34.36144
S194 31.43288 34.36183
S195 31.43446 34.36115
S196 31.43529 34.35871
S197 31.425733 34.3384
S198 31.41511 34.35252
S199 31.41017 34.35978
S200 31.41425 34.37792
S201 31.40834 34.37372
S202 31.40243 34.37109
S203 31.39844 34.37022
S204 31.39436 34.36739
S205 31.39045 34.36212
S206 31.39511 34.35413
S207 31.39636 34.35423
S208 31.39852 34.35082
S209 31.38488 34.34078
S210 31.39128 34.33171
S220 31.38970 34.31582
S221 31.39053 34.30656
S222 31.39328 34.29993
S223 31.40609 34.31640
S224 31.38712 34.29252
S225 31.38238 34.28853
S226 31.37605 34.29642
S227 31.37805 34.30061
S228 31.37647 34.30266
S229 31.37922 34.30685
S230 31.37905 34.31446
S231 31.37592 34.33324
S232 31.37179 34.33148
S233 31.36703 34.33096
S234 31.37469 34.33758
S235 31.37037 34.33452
S432 31.35522 34.32646
S532 31.35744 34.31569
S236 31.37060 34.28635
S237 31.36376 34.27877
S238 31.36718 34.27206
S239 31.36361 34.27885
S240 31.35409 34.25594
S241 31.35171 34.25437
S242 31.35104 34.25289
S243 31.35520 34.28138
S244 31.35684 34.27929
S245 31.35617 34.27885
S246 31.35312 34.28513
S247 31.35089 34.28826
S248 31.35156 34.30621
S249 31.34739 34.31579
S250 31.34367 34.31414
S251 31.34099 34.31362
S252 31.33749 34.30952
S253 31.34010 34.30604
S254 31.34345 34.30830
S255 31.34315 34.30525
S256 31.34218 34.30212
S257 31.34426 34.30299
S258 31.33422 34.29602
S259 31.32908 34.31187
S261 31.34286 34.32523
S262 31.33070 34.33719
S263 31.32649 34.33273
S264 31.32317 34.34688
S265 31.32204 34.34521
S266 31.31850 34.34019
S267 31.31216 34.33432
S268 31.30685 34.32983
S269 31.31828 34.31547
S270 31.31097 34.31646
S271 31.30301 34.31639
S272 31.29933 34.31882
S273 31.30528 34.34289
S274 31.30925 34.36461
S275 31.30515 34.36903
S276 31.30686 34.36119
S277 31.29941 34.36052
S278 31.29535 34.35420
S279 31.29861 34.34926
S280 31.30362 34.35704
S281 31.29145 34.34849
S282 31.28964 34.34366
S283 31.29629 34.33852
S284 31.29394 34.33371
S286 31.28363 34.32856
S287 31.29075 34.32426
S289 31.27963 34.31681
S290 31.28325 34.31107
S291 31.28700 34.31517
S292 31.28790 34.31336
S293 31.28794 34.31521
S294 31.29063 34.31433
S295 31.28494 34.27155
S296 31.27986 34.25478
S297 31.28870 34.26353
S298 31.29950 34.27427
S299 31.30975 34.28143
S300 31.31781 34.28483
S301 31.32191 34.28603
S302 31.28678 34.24856
S303 31.29286 34.25105
S304 31.29445 34.24403
S306 31.29930 34.24288
S307 31.30174 34.25016
S308 31.30497 34.25890
S309 31.30486 34.24785
S310 31.30730 34.24445
S311 31.30803 34.24041
S312 31.30433 34.23793
S313 31.30726 34.23697
S314 31.31106 34.23569
S315 31.31259 34.23417
S316 31.31702 34.23293
S317 31.32340 34.23417
S318 31.32637 34.23426
S319 31.33135 34.23014
S320 31.34521 34.24623
S321 31.33898 34.25448
S322 31.32701 34.24415
S323 31.32247 34.24360
S324 31.31138 34.25405
S325 31.31004 34.25694
S326 31.30960 34.26127
S327 31.31415 34.27045
S328 31.31418 34.27212
S329 31.31387 34.27349
S330 31.31004 34.26942
S331 31.30681 34.26453
S332 31.27981 34.30860
S333 31.27535 34.30218
S334 31.26405 34.29548
S335 31.27050 34.29039
S336 31.27010 34.28900
S338 31.26696 34.28080
S345 31.25862 34.28445
S349 31.25337 34.28260
S350 31.25921 34.27695
S353 31.26323 34.28296
S355 31.26276 34.27387
S356 31.25935 34.26992
S357 31.25553 34.26949
S358 31.25091 34.26847
S359 31.25221 34.26711
S360 31.25446 34.26476
S367 31.26916 34.26097
S368 31.27156 34.25732
S369 31.27259 34.25847
S370 31.27640 34.25723
S371 31.27534 34.25288
S372 31.27883 34.25588
S374 31.28251 34.27371
S375 31.27803 34.27835
S376 31.27496 34.28447
S377 31.27028 34.27643
Umm-al-nnaser S16
S16 Umm-al-nnaser
Beit-Lahia S1
S1 Beit-Lahia
Beit-Hanoun S37
S37 Beit-Hanoun
Jabalia S45
S45 Jabalia
Juhor-Ad-Dik S139
S139 Juhor-Ad-Dik
Al-Mughraqa S125
S125 Al-Mughraqa
Nuseirat S156
S156 Nuseirat
Nuseirat S157
S157 Nuseirat
Bureij S148
S148 Bureij
Maghazi S781
S781 Maghazi
S197 Deir-Al-Balah
Deir-Al-Balah S197
S198 Deir-Al-Balah
Deir-Al-Balah S198
Wadi-as-Salqa S204
S204 Wadi-as-Salqa
S234 Al-Qarara
Al-Qarara S234
S235 Al-Qarara
Al-Qarara S235
Khan-Yunis S248
S248 Khan-Yunis
Khan-Yunis S257
S257 Khan-Yunis
Khan-Yunis S254
S254 Khan-Yunis
Gaza-City S108
S108 Gaza-City
Gaza-City S82
S82 Gaza-City
Gaza-City S63
S63 Gaza-City
Abasan-al-Kabira S265
S265 Abasan-al-Kabira
Khuzaa S276
S276 Khuzaa
S284 Al-Fukhkhari
Al-Fukhkhari S284
An-Nasir S353
S353 An-Nasir
Rafah S304
S304 Rafah
Rafah S303
S303 Rafah
Rafah S307
S307 Rafah
Rafah S306
S306 Rafah
Shokat-as-Sufi S359
S359 Shokat-as-Sufi
Al-kuba S107
S107 Al-kuba
Al-Zahra S169
S168 Al-Zahra
Al-Zahra S168
S169 Al-Zahra
Az-Zawayda S191
S191 Az-Zawayda
S192 Az-Zawayda
Az-Zawayda S192
S1 S21
S16 S20
S16 S17
S17 S16
S17 S18
S18 S17
S18 S38
S18 S39
S20 S16
S20 S21
S20 S34
S21 S1
S21 S22
S22 S21
S22 S23
S22 S34
S23 S22
S23 S24
S23 S33
S24 S23
S24 S28
S28 S29
S28 S24
S29 S28
S29 S30
S30 S29
S30 S31
S31 S30
S31 S32
S31 S48
S32 S33
S32 S31
S32 S47
S33 S32
S33 S23
S34 S22
S34 S20
S34 S35
S35 S34
S35 S36
S35 S41
S36 S39
S36 S37
S36 S35
S36 S40
S37 S38
S37 S36
S38 S37
S38 S18
S38 S39
S39 S38
S39 S18
S39 S36
S40 S36
S40 S41
S40 S42
S41 S40
S41 S35
S41 S43
S42 S40
S42 S43
S42 S84
S43 S42
S43 S44
S43 S41
S43 S83
S44 S43
S44 S45
S45 S44
S45 S46
S46 S45
S46 S47
S47 S46
S47 S48
S47 S32
S47 S58
S48 S47
S48 S31
S48 S49
S49 S48
S49 S56
S49 S50
S50 S49
S50 S51
S51 S50
S51 S71
S51 S52
S52 S51
S52 S53
S53 S52
S53 S55
S55 S53
S55 S56
S56 S49
S56 S57
S56 S67
S56 S55
S57 S58
S57 S64
S58 S57
S58 S59
S58 S47
S59 S58
S59 S60
S60 S61
S60 S59
S61 S60
S61 S62
S62 S61
S62 S63
S63 S62
S63 S64
S63 S76
S64 S65
S64 S63
S64 S57
S64 S75
S65 S66
S66 S64
S66 S67
S67 S66
S67 S56
S67 S68
S68 S67
S68 S69
S69 S70
S69 S72
S69 S68
S70 S69
S70 S71
S71 S51
S71 S70
S72 S69
S72 S73
S72 S89
S73 S72
S73 S88
S73 S74
S74 S73
S74 S75
S74 S700
S75 S74
S75 S64
S75 S76
S76 S63
S76 S77
S76 S75
S77 S76
S77 S78
S78 S77
S78 S79
S79 S80
S79 S78
S80 S108
S80 S101
S80 S79
S82 S83
S83 S82
S83 S43
S83 S84
S84 S42
S84 S85
S84 S83
S85 S84
S85 S86
S86 S85
S86 S87
S86 S104
S87 S86
S87 S102
S88 S73
S88 S89
S88 S93
S89 S88
S89 S72
S89 S90
S90 S89
S90 S96
S90 S91
S91 S90
S91 S92
S92 S91
S92 S93
S93 S92
S93 S88
S93 S94
S94 S93
S94 S95
S95 S94
S95 S121
S95 S700
S96 S90
S96 S97
S96 S124
S97 S96
S97 S98
S98 S119
S98 S97
S100 S120
S100 S101
S100 S78
S101 S100
S101 S80
S101 S118 
S102 S87
S102 S105
S104 S86
S104 S115
S104 S105
S105 S104
S105 S102
S105 S106
S106 S107
S106 S105
S106 S109
S107 S106
S107 S114
S108 S80
S108 S106
S109 S106
S109 S111
S110 S117
S110 S118
S110 S129
S111 S109
S111 S112
S112 S111
S112 S114
S114 S115
S114 S107
S114 S112
S115 S114
S115 S104
S115 S116
S116 S115
S116 S117
S116 S137
S117 S116
S117 S110
S117 S129
S118 S110
S118 S119
S118 S101
S118 S127
S119 S118
S119 S120
S119 S98
S120 S119
S120 S100
S120 S121
S121 S120
S121 S95
S124 S96
S124 S125
S124 S170
S125 S124
S125 S126
S125 S164
S126 S125
S126 S127
S126 S165
S127 S126
S127 S118
S127 S142
S128 S129
S128 S141
S129 S128
S129 S117
S129 S130
S129 S110
S130 S129
S130 S131
S131 S130
S131 S139
S131 S132
S132 S131
S132 S133
S133 S132
S133 S134
S133 S138
S134 S133
S134 S135
S135 S134
S135 S136
S136 S135
S136 S137
S137 S116
S137 S136
S138 S133
S138 S139
S139 S138
S139 S131
S139 S140
S140 S139
S140 S141
S141 S128
S141 S142
S141 S143
S141 S140
S142 S141
S142 S127
S142 S156
S143 S144
S143 S141
S144 S143
S144 S145
S145 S144
S145 S146
S145 S149
S146 S145
S146 S156
S146 S150
S148 S150
S148 S12
S12 S148
S12 S183
S149 S145
S149 S150
S150 S146
S150 S149
S150 S148
S153 S156
S153 S183
S153 S189
S156 S153
S156 S146
S156 S142
S157 S163
S157 S158
S158 S157
S158 S177
S163 S157
S163 S164
S163 S166
S164 S163
S164 S165
S164 S125
S165 S164
S165 S126
S166 S167
S166 S163
S166 S169
S167 S166
S167 S168
S168 S167
S169 S166
S170 S169
S170 S124
S170 S181
S176 S177
S176 S178
S177 S176
S177 S158
S178 S176
S178 S179
S179 S178
S179 S180
S180 S179
S180 S181
S181 S182
S181 S170
S182 S197
S182 S181
S182 S196
S183 S153
S183 S12
S183 S184
S184 S183
S184 S185
S184 S189
S185 S184
S185 S186
S186 S185
S186 S781
S187 S781
S187 S188
S187 S200
S781 S187
S781 S186
S188 S187
S188 S190
S188 S199
S189 S190
S189 S184
S189 S153
S190 S191
S190 S188
S190 S189
S191 S190
S192 S193
S193 S192
S193 S194
S194 S193
S194 S195
S195 S194
S195 S196
S196 S195
S196 S182
S197 S182
S197 S223
S198 S199
S199 S198
S199 S208
S199 S188
S200 S187
S200 S201
S201 S202
S201 S200
S202 S201
S202 S203
S203 S202
S203 S204
S204 S203
S204 S205
S205 S204
S205 S206
S206 S205
S206 S207
S207 S206
S207 S208
S208 S207
S208 S199
S208 S209
S209 S208
S209 S210
S209 S231
S210 S220
S210 S209
S220 S210
S220 S230
S220 S221
S221 S220
S221 S222
S222 S221
S222 S224
S222 S223
S223 S197
S223 S222
S224 S222
S224 S225
S225 S224
S225 S238
S225 S226
S226 S225
S226 S227
S226 S236
S227 S226
S227 S228
S228 S227
S228 S229
S229 S230
S229 S228
S230 S220
S230 S229
S231 S209
S231 S232
S231 S234
S232 S231
S232 S235
S232 S532
S232 S233
S233 S232
S233 S432
S532 S232
S532 S248
S432 S233
S432 S249
S234 S231
S235 S232
S236 S226
S236 S237
S237 S236
S237 S321
S238 S225
S238 S240
S239 S237
S240 S238
S240 S241
S241 S240
S241 S242
S242 S241
S242 S320
S243 S239
S243 S244
S244 S245
S245 S246
S246 S243
S246 S247
S247 S246
S247 S257
S248 S532
S249 S250
S249 S432
S250 S261
S250 S249
S250 S251
S250 S254
S251 S250
S251 S252
S252 S251
S252 S259
S252 S253
S253 S252
S253 S254
S253 S258
S253 S256
S254 S250
S254 S255
S254 S253
S255 S254
S255 S257
S256 S257
S256 S258
S256 S253
S257 S255
S257 S247
S257 S256
S258 S253
S258 S256
S258 S301
S259 S252
S259 S269
S261 S262
S261 S250
S262 S261
S262 S264
S262 S263
S263 S262
S263 S266
S264 S262
S264 S274
S264 S265
S265 S264
S265 S266
S266 S265
S266 S263
S267 S268
S267 S273
S268 S267
S268 S283
S268 S272
S269 S270
S269 S259
S270 S269
S270 S271
S271 S270
S271 S294
S272 S268
S272 S287
S273 S279
S273 S267
S274 S264
S274 S276
S274 S275
S275 S274
S275 S277
S276 S274
S277 S275
S277 S278
S277 S280
S278 S277
S278 S279
S278 S281
S279 S280
S279 S278
S279 S273
S280 S277
S280 S279
S281 S278
S281 S282
S282 S283
S282 S286
S282 S281
S283 S268
S283 S284
S283 S282
S284 S283
S284 S287
S286 S282
S286 S287
S286 S289
S287 S284
S287 S293
S287 S272
S287 S286
S289 S286
S289 S291
S290 S292
S290 S332
S291 S289
S291 S293
S292 S294
S292 S290
S293 S294
S293 S291
S293 S287
S294 S292
S294 S271
S295 S374
S295 S297
S296 S297
S296 S372
S296 S302
S297 S296
S297 S303
S297 S295
S297 S298
S298 S297
S298 S299
S299 S298
S299 S300
S299 S329
S300 S299
S300 S301
S301 S300
S301 S258
S302 S296
S302 S304
S303 S297
S304 S302
S306 S312
S307 S309
S307 S308
S308 S331
S308 S307
S309 S307
S309 S310
S310 S309
S310 S311
S311 S310
S311 S313
S312 S313
S312 S306
S313 S314
S313 S311
S313 S312
S314 S313
S314 S315
S315 S314
S315 S316
S316 S317
S316 S315
S317 S318
S317 S316
S318 S319
S318 S317
S319 S318
S319 S320
S320 S319
S320 S321
S320 S242
S321 S320
S321 S322
S321 S237
S322 S321
S322 S323
S323 S322
S323 S324
S324 S323
S324 S325
S325 S324
S325 S326
S326 S325
S326 S327
S327 S326
S327 S328
S328 S329
S328 S327
S328 S330
S329 S328
S329 S328
S329 S299
S330 S328
S330 S331
S331 S330
S331 S308
S332 S290
S332 S333
S333 S332
S333 S335
S334 S335
S334 S345
S335 S333
S335 S336
S335 S334
S336 S335
S336 S376
S336 S338
S338 S336
S338 S353
S338 S377
S338 S355
S345 S334
S345 S349
S345 S353
S349 S345
S349 S350
S350 S349
S350 S357
S350 S355
S353 S345
S353 S338
S355 S338
S355 S356
S355 S350
S356 S355
S356 S357
S356 S360
S357 S350
S357 S356
S357 S358
S358 S357
S358 S359
S359 S358
S359 S360
S360 S359
S360 S356
S367 S368
S367 S377
S368 S369
S368 S367
S368 S371
S369 S368
S369 S374
S369 S370
S370 S369
S370 S372
S371 S368
S371 S372
S372 S371
S372 S296
S372 S370
S374 S295
S374 S375
S374 S369
S375 S374
S375 S376
S376 S375
S376 S336
S377 S338
S377 S367
S700 S74
S700 S95
